group	names	scores	logfoldchanges	pvals	pvals_adj
27	GAGE12E	5.181262		2.2038991954103086e-07	8.815596781641234e-05
27	FTL	3.3551264		0.000793287564518914	0.22665358986254686
27	GAGE12H	2.6446261		0.008178122501996657	0.9998099702806041
27	LINC02043	2.5517147		0.010719425341870644	0.9998099702806041
27	EIF1AY	1.5600461		0.11874900340194182	0.9998099702806041
27	GAGE12D	1.4839612		0.13781921586098883	0.9998099702806041
27	NPPC	1.2453895		0.21298860360854477	0.9998099702806041
28	SPRY1	46.06394		0.0	0.0
28	FTL	4.4377975		9.088398693656264e-06	0.009088398693656264
28	APOE	3.8214447		0.00013267212641010956	0.08844808427340638
28	MEG3	2.5585496		0.010510983366284369	0.9999647703818071
28	SPARCL1	2.0688076		0.038564141932979405	0.9999647703818071
28	AEBP1	1.4091192		0.15879990278950806	0.9999647703818071
28	POSTN	1.4037031		0.16040728600498555	0.9999647703818071
28	MT1A	1.0898256		0.27578995764863756	0.9999647703818071
28	SERPING1	1.0515281		0.29301609987198285	0.9999647703818071
28	PLPP3	0.936562		0.3489839134007692	0.9999647703818071
29	HOXB-AS3	30.24124		6.802240887785415e-201	1.360448177557083e-197
29	CASP14	22.676622		7.622004953141682e-114	7.622004953141683e-111
29	FTL	12.355903		4.526491186238352e-35	3.017660790825568e-32
29	ZNF350-AS1	7.2154164		5.376921861569786e-13	2.688460930784893e-10
29	ADAMTS4	5.630555		1.796306462314476e-08	7.185225849257903e-06
29	HOXD1	4.6277633		3.696362135261527e-06	0.0012321207117538425
29	JAKMIP1	4.234558		2.2900168935087457e-05	0.006542905410024988
29	FN1	3.8028762		0.0001430257700543717	0.035756442513592925
29	IGLC3	3.4991367		0.00046676715059303363	0.08486675465327885
29	ACAP1	3.411426		0.0006462400770250654	0.10770667950417757
30	APOC1	40.22067		0.0	0.0
30	APOE	11.652895		2.2179358916839117e-31	2.2179358916839117e-28
30	FTL	4.4505157		8.566437966662139e-06	0.005710958644441426
30	RNASE1	3.0896816		0.002003712306709692	0.9996988716908128
30	LYZ	2.4074447		0.016064594007670602	0.9996988716908128
30	C1QC	2.2871335		0.022188036295174022	0.9996988716908128
30	SPARCL1	1.9057947		0.05667684095180325	0.9996988716908128
30	HLA-DQA1	1.895679		0.058002508654862416	0.9996988716908128
30	MEF2C	1.8453074		0.06499284635802768	0.9996988716908128
30	KCTD12	1.7038085		0.08841685700549909	0.9996988716908128
31	PSG4	44.07486		0.0	0.0
31	ETS1	11.65223		2.2353200701561815e-31	2.2353200701561815e-28
31	MEG3	6.320974		2.5992030858968105e-10	1.7328020572645403e-07
31	MMP3	6.1206517		9.319336489426204e-10	4.659668244713102e-07
31	RGCC	4.58574		4.523807367508993e-06	0.001809522947003597
31	ADAMTS9	4.2667975		1.9829900513014674e-05	0.006609966837671558
31	MT1A	4.0494967		5.1327930179469316e-05	0.014665122908419804
31	SPARCL1	3.6235616		0.0002905739611527061	0.07264349028817653
31	APOE	2.8064768		0.005008650251965867	0.9998850561519986
31	PRDM1	2.6345227		0.00842556977728149	0.9998850561519986
32	CNTD1	44.01349		0.0	0.0
32	FTL	4.677671		2.9015178446046147e-06	0.0029015178446046147
32	CST9	1.8096353		0.07035235716310001	0.999780095000878
32	BPIFB1	1.5785122		0.11444799435924288	0.999780095000878
32	ASCL1	1.507478		0.13168818830573015	0.999780095000878
32	GRIA2	1.2770742		0.2015760554798156	0.999780095000878
32	SERPINA6	1.1993614		0.23038741077207536	0.999780095000878
32	AC005920.1	1.0342057		0.3010400179016328	0.999780095000878
32	CAMP	0.8643287		0.38740735889314404	0.999780095000878
32	TRH	0.8068959		0.419726457176106	0.999780095000878
33	HRCT1	29.241745		5.718063092491065e-188	1.143612618498213e-184
33	COL2A1	20.312475		9.974706702976102e-92	9.974706702976102e-89
33	PCP4	18.527449		1.2402832000222442e-76	8.268554666814961e-74
33	FTL	16.243757		2.473030747259989e-59	1.2365153736299946e-56
33	APOE	13.245756		4.774480813532372e-40	1.9097923254129486e-37
33	ACTA1	10.329298		5.193952813582442e-25	1.7313176045274806e-22
33	SERPING1	9.807002		1.0504275599925645e-22	3.001221599978756e-20
33	LIMD2	6.139814		8.261817897164936e-10	2.065454474291234e-07
33	RGCC	6.0320787		1.6186397042771394e-09	3.596977120615866e-07
33	CREM	5.8783073		4.144828463139599e-09	8.289656926279199e-07
34	CCDC78	36.436066		1.1436044445078314e-290	2.2872088890156626e-287
34	CYSRT1	8.043353		8.741318571946453e-16	8.741318571946453e-13
34	HLA-DRB5	6.369251		1.8995385100183136e-10	1.2663590066788757e-07
34	CYP4F8	3.0238535		0.0024957722220707813	0.8319240740235937
34	HLA-DQB1	2.831969		0.004626232194543518	0.9997262540520253
34	FN1	2.6830378		0.007295673442257079	0.9997262540520253
34	HOXB-AS3	1.976921		0.048050561094983964	0.9997262540520253
34	HLA-DQA1	1.9175249		0.055171268945143556	0.9997262540520253
34	ACAP1	1.1224746		0.2616607369789359	0.9997262540520253
34	FTL	1.1173042		0.26386426556232623	0.9997262540520253
35	PYDC1	41.69657		0.0	0.0
35	COL1A1	5.583963		2.350988398496751e-08	2.350988398496751e-05
35	FN1	4.962229		6.96887961170124e-07	0.000464591974113416
35	IGLC2	4.490861		7.093579803253104e-06	0.003546789901626552
35	HLA-DRB5	4.0713983		4.673180543310069e-05	0.018692722173240275
35	HLA-DQB1	3.9160314		9.001856717624212e-05	0.030006189058747374
35	HLA-DQA1	2.9227283		0.003469790676931307	0.8674476692328267
35	FBLN1	2.5354545		0.011230153079989237	0.9992272573004148
35	DCD	1.9093803		0.056213044301745146	0.9992272573004148
35	IGHM	1.8875597		0.05908508667017748	0.9992272573004148
36	FTL	13.087867		3.863032936356664e-39	7.726065872713329e-36
36	DCD	0.52631897		0.5986666219078209	0.9998095082390452
36	EIF1AY	0.35371998		0.723548750000393	0.9998095082390452
36	HTN1	0.27962083		0.7797684269231889	0.9998095082390452
